OBJECTID,Shape,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,City,Shape_Length,Shape_Area
1,,26,163,538400,1,261635384001,Block Group 1,G5030,S,303493,0,+42.4298745,-083.1368220,Detroit,7588.194857,3266388.533
2,,26,163,538100,1,261635381001,Block Group 1,G5030,S,367927,0,+42.4425925,-083.1391653,Detroit,8344.202205,3959839.684
3,,26,163,537800,3,261635378003,Block Group 3,G5030,S,225740,0,+42.3894693,-083.1858008,Detroit,7070.937285,2429599.586
4,,26,163,537800,2,261635378002,Block Group 2,G5030,S,364088,0,+42.3929397,-083.1849115,Detroit,8633.666358,3918602.501
5,,26,163,537800,1,261635378001,Block Group 1,G5030,S,237831,0,+42.3925871,-083.1937781,Detroit,6978.512555,2559715.381
6,,26,163,537700,3,261635377003,Block Group 3,G5030,S,325011,0,+42.3979586,-083.1961216,Detroit,7927.271886,3497999.456
7,,26,163,537700,2,261635377002,Block Group 2,G5030,S,326901,0,+42.3981073,-083.1912188,Detroit,7955.318309,3518356.587
8,,26,163,537700,1,261635377001,Block Group 1,G5030,S,292760,0,+42.3982391,-083.1865693,Detroit,7679.955989,3150902.268
9,,26,163,537600,1,261635376001,Block Group 1,G5030,S,212915,0,+42.4100908,-083.1941504,Detroit,7038.022121,2291526.647
10,,26,163,537500,5,261635375005,Block Group 5,G5030,S,161437,0,+42.4033962,-083.1963528,Detroit,5269.455292,1737510.703
11,,26,163,537500,4,261635375004,Block Group 4,G5030,S,160614,0,+42.4070130,-083.1965238,Detroit,5260.740536,1728645.855
12,,26,163,537500,3,261635375003,Block Group 3,G5030,S,162779,0,+42.4053273,-083.1927802,Detroit,6603.696953,1751958.663
13,,26,163,537500,2,261635375002,Block Group 2,G5030,S,239817,0,+42.4054179,-083.1897410,Detroit,7231.639793,2581080.046
14,,26,163,537500,1,261635375001,Block Group 1,G5030,S,215340,0,+42.4055189,-083.1863090,Detroit,7041.258211,2317639.892
15,,26,163,537300,4,261635373004,Block Group 4,G5030,S,256189,0,+42.3838431,-083.1904069,Detroit,7244.441847,2757313.718
16,,26,163,537300,3,261635373003,Block Group 3,G5030,S,292818,0,+42.3841897,-083.1858636,Detroit,7293.131038,3151545.326
17,,26,163,537300,1,261635373001,Block Group 1,G5030,S,326983,0,+42.3890516,-083.1939910,Detroit,9469.807946,3519237.904
18,,26,163,537200,2,261635372002,Block Group 2,G5030,S,602827,0,+42.3856996,-083.1765727,Detroit,11354.18711,6488066.63
19,,26,163,537200,1,261635372001,Block Group 1,G5030,S,609469,0,+42.3905690,-083.1751478,Detroit,10761.51215,6559578.103
20,,26,163,537100,2,261635371002,Block Group 2,G5030,S,185187,0,+42.3999271,-083.1812749,Detroit,6442.756414,1993106.478
21,,26,163,516500,1,261635165001,Block Group 1,G5030,S,1338782,1045874,+42.3375655,-083.0148583,Detroit,25762.64089,25665913.42
22,,26,163,516400,1,261635164001,Block Group 1,G5030,S,471915,0,+42.3484940,-083.0071515,Detroit,10328.54255,5079177.22
23,,26,163,516400,2,261635164002,Block Group 2,G5030,S,558582,0,+42.3528511,-083.0116940,Detroit,11405.78201,6011949.927
24,,26,163,516300,1,261635163001,Block Group 1,G5030,S,619160,0,+42.3595713,-083.0152242,Detroit,10291.31476,6663933.331
25,,26,163,516200,2,261635162002,Block Group 2,G5030,S,321541,0,+42.3645129,-083.0193412,Detroit,9154.21943,3460679.312
26,,26,163,516200,1,261635162001,Block Group 1,G5030,S,243672,0,+42.3683237,-083.0184084,Detroit,6992.272549,2622603.233
27,,26,163,515600,1,261635156001,Block Group 1,G5030,S,318287,0,+42.3595628,-082.9887179,Detroit,7543.105379,3425694.312
28,,26,163,515400,2,261635154002,Block Group 2,G5030,S,409461,0,+42.3567860,-082.9936689,Detroit,8788.303155,4406994.612
29,,26,163,515400,1,261635154001,Block Group 1,G5030,S,493004,0,+42.3644406,-082.9986307,Detroit,10087.59688,5306129.035
30,,26,163,515300,2,261635153002,Block Group 2,G5030,S,187656,0,+42.3499307,-083.0004003,Detroit,5780.822613,2019722.082
31,,26,163,515300,1,261635153001,Block Group 1,G5030,S,270348,0,+42.3546861,-082.9977402,Detroit,7892.872322,2909733.627
32,,26,163,515200,2,261635152002,Block Group 2,G5030,S,446305,0,+42.3639179,-083.0072284,Detroit,9011.625128,4803519.154
33,,26,163,515200,1,261635152001,Block Group 1,G5030,S,483201,0,+42.3595797,-083.0042254,Detroit,9353.291764,5200634.957
34,,26,163,516000,4,261635160004,Block Group 4,G5030,S,356372,0,+42.3694934,-083.0144562,Detroit,9344.41916,3835590.893
35,,26,163,516000,2,261635160002,Block Group 2,G5030,S,237615,0,+42.3715327,-083.0079017,Detroit,9223.550332,2557397.209
36,,26,163,514200,3,261635142003,Block Group 3,G5030,S,164874,0,+42.3771305,-083.0139984,Detroit,6483.977495,1774500.856
37,,26,163,514200,5,261635142005,Block Group 5,G5030,S,161918,0,+42.3797223,-083.0108197,Detroit,5882.986532,1742690.576
38,,26,163,514200,4,261635142004,Block Group 4,G5030,S,136066,0,+42.3813029,-083.0088995,Detroit,6268.419221,1464453.196
39,,26,163,515900,2,261635159002,Block Group 2,G5030,S,376397,0,+42.3826425,-083.0212285,Detroit,8321.409857,4051081.708
40,,26,163,515900,3,261635159003,Block Group 3,G5030,S,277915,0,+42.3775741,-083.0183418,Detroit,7676.042344,2991136.365
41,,26,163,526000,2,261635260002,Block Group 2,G5030,S,678941,0,+42.3266565,-083.1380925,Detroit,11952.45799,7307383.336
42,,26,163,531700,2,261635317002,Block Group 2,G5030,S,516633,0,+42.3990036,-083.1165923,Detroit,11959.79192,5560375.114
43,,26,163,530100,1,261635301001,Block Group 1,G5030,S,477276,0,+42.4055470,-083.1192523,Detroit,11133.74992,5136792.927
44,,26,163,530200,3,261635302003,Block Group 3,G5030,S,183568,0,+42.4076209,-083.1295555,Detroit,5785.702928,1975694.754
45,,26,163,530200,5,261635302005,Block Group 5,G5030,S,178254,0,+42.4075374,-083.1335493,Detroit,5771.301459,1918504.851
46,,26,163,530200,4,261635302004,Block Group 4,G5030,S,591321,0,+42.4112509,-083.1379376,Detroit,11857.636,6364229.598
47,,26,163,530500,3,261635305003,Block Group 3,G5030,S,220968,0,+42.3869107,-083.1348117,Detroit,7445.364929,2378219.544
48,,26,163,533400,4,261635334004,Block Group 4,G5030,S,389693,0,+42.3644320,-083.1248275,Detroit,8652.578264,4194196.199
49,,26,163,532700,2,261635327002,Block Group 2,G5030,S,170379,0,+42.3741013,-083.0959573,Detroit,6278.558815,1833749.75
50,,26,163,541100,4,261635411004,Block Group 4,G5030,S,463620,0,+42.4196348,-083.2465265,Detroit,9743.422221,4989775.455
51,,26,163,541500,4,261635415004,Block Group 4,G5030,S,460407,0,+42.4390964,-083.2640814,Detroit,11238.41814,4955165.042
52,,26,163,541000,2,261635410002,Block Group 2,G5030,S,466698,0,+42.4346938,-083.2514634,Detroit,10246.34737,5022916.344
53,,26,163,541000,3,261635410003,Block Group 3,G5030,S,465116,0,+42.4310814,-083.2513333,Detroit,10231.96406,5005876.968
54,,26,163,544200,2,261635442002,Block Group 2,G5030,S,452738,0,+42.4071736,-083.2650948,Detroit,12725.45603,4872717.785
