OBJECTID,Shape,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,City,Shape_Length,Shape_Area
113,,26,163,543800,26163543800,5438,Census Tract 5438,G5020,S,999331,0,+42.3894072,-083.2540332,Detroit,13339.69203,10755561.14
114,,26,163,543700,26163543700,5437,Census Tract 5437,G5020,S,1324931,0,+42.3894635,-083.2386147,Detroit,18354.71964,14259894.54
115,,26,163,543600,26163543600,5436,Census Tract 5436,G5020,S,1404089,0,+42.3968066,-083.2510232,Detroit,16729.1983,15111785.45
116,,26,163,543500,26163543500,5435,Census Tract 5435,G5020,S,934313,0,+42.4040427,-083.2498756,Detroit,12898.61308,10055779.25
117,,26,163,543400,26163543400,5434,Census Tract 5434,G5020,S,1062119,0,+42.4015679,-083.2374736,Detroit,15694.60076,11431289.54
118,,26,163,504100,26163504100,5041,Census Tract 5041,G5020,S,738734,0,+42.4153882,-082.9679696,Detroit,15563.06424,7950813.13
119,,26,163,504000,26163504000,5040,Census Tract 5040,G5020,S,632070,0,+42.4169793,-082.9776759,Detroit,10410.1822,6802787.047
120,,26,163,503900,26163503900,5039,Census Tract 5039,G5020,S,983950,0,+42.4134536,-082.9873463,Detroit,15005.58294,10589999.86
121,,26,163,503600,26163503600,5036,Census Tract 5036,G5020,S,738902,0,+42.4249818,-082.9967805,Detroit,15093.2073,7952576.502
122,,26,163,503500,26163503500,5035,Census Tract 5035,G5020,S,1615235,0,+42.4312541,-082.9922641,Detroit,18782.21334,17384291.5
123,,26,163,503400,26163503400,5034,Census Tract 5034,G5020,S,670279,0,+42.4389974,-082.9801546,Detroit,11076.32412,7213987.404
124,,26,163,503300,26163503300,5033,Census Tract 5033,G5020,S,1298176,0,+42.4383158,-082.9950446,Detroit,15869.70215,13971841.81
125,,26,163,503200,26163503200,5032,Census Tract 5032,G5020,S,1271340,0,+42.4454982,-082.9953169,Detroit,15785.59891,13683015.61
126,,26,163,503100,26163503100,5031,Census Tract 5031,G5020,S,980539,0,+42.4461391,-082.9778891,Detroit,13748.24421,10553242.02
127,,26,163,502000,26163502000,5020,Census Tract 5020,G5020,S,894356,0,+42.3932938,-082.9469658,Detroit,13137.46267,9625788.96
128,,26,163,501900,26163501900,5019,Census Tract 5019,G5020,S,742662,0,+42.3952603,-082.9401000,Detroit,12635.55447,7993133.487
1,,26,163,524800,26163524800,5248,Census Tract 5248,G5020,S,1118325,0,+42.2630997,-083.1615912,Detroit,14666.80217,12036757.66
2,,26,163,521900,26163521900,5219,Census Tract 5219,G5020,S,1692449,0,+42.3503993,-083.0805337,Detroit,22567.22661,18215569.82
3,,26,163,521800,26163521800,5218,Census Tract 5218,G5020,S,224907,0,+42.3461214,-083.0712523,Detroit,6800.035307,2420653.532
4,,26,163,521500,26163521500,5215,Census Tract 5215,G5020,S,1507941,0,+42.3368603,-083.0763920,Detroit,18245.53627,16229879.41
5,,26,163,521400,26163521400,5214,Census Tract 5214,G5020,S,1305626,0,+42.3305838,-083.0730165,Detroit,18164.81096,14052350.64
6,,26,163,521300,26163521300,5213,Census Tract 5213,G5020,S,969178,0,+42.3341230,-083.0929489,Detroit,15651.78458,10431171.58
7,,26,163,521100,26163521100,5211,Census Tract 5211,G5020,S,1600031,117811,+42.3208768,-083.0808652,Detroit,21869.61747,18489084.75
8,,26,163,985300,26163985300,9853,Census Tract 9853,G5020,S,1105371,379735,+42.3203926,-083.0701382,Detroit,20447.94163,15984165.14
9,,26,163,520800,26163520800,5208,Census Tract 5208,G5020,S,1348294,686823,+42.3254678,-083.0537969,Detroit,22388.55869,21903999.06
10,,26,163,520700,26163520700,5207,Census Tract 5207,G5020,S,767428,0,+42.3347168,-083.0554556,Detroit,12492.64753,8259743.069
11,,26,163,520400,26163520400,5204,Census Tract 5204,G5020,S,409578,0,+42.3481561,-083.0675930,Detroit,9228.842883,4408277.485
12,,26,163,520300,26163520300,5203,Census Tract 5203,G5020,S,451117,0,+42.3497881,-083.0627334,Detroit,9324.066129,4855334.668
13,,26,163,516900,26163516900,5169,Census Tract 5169,G5020,S,615129,0,+42.3446547,-083.0302450,Detroit,10875.92768,6620552.823
14,,26,163,516800,26163516800,5168,Census Tract 5168,G5020,S,983256,0,+42.3560005,-083.0254934,Detroit,15893.74127,10582697.76
15,,26,163,516700,26163516700,5167,Census Tract 5167,G5020,S,1199188,0,+42.3483954,-083.0210206,Detroit,15183.77985,12906746.49
16,,26,163,516600,26163516600,5166,Census Tract 5166,G5020,S,691101,0,+42.3413645,-083.0201887,Detroit,14034.16715,7438277.882
17,,26,163,516500,26163516500,5165,Census Tract 5165,G5020,S,1338782,1045874,+42.3375655,-083.0148583,Detroit,25762.64089,25665913.42
18,,26,163,516400,26163516400,5164,Census Tract 5164,G5020,S,1030497,0,+42.3508558,-083.0096137,Detroit,13910.10205,11091127.15
19,,26,163,516300,26163516300,5163,Census Tract 5163,G5020,S,619160,0,+42.3595713,-083.0152242,Detroit,10291.31476,6663933.331
20,,26,163,516200,26163516200,5162,Census Tract 5162,G5020,S,565213,0,+42.3661558,-083.0189390,Detroit,10562.49952,6083282.544
21,,26,163,516100,26163516100,5161,Census Tract 5161,G5020,S,1349362,0,+42.3756603,-083.0258411,Detroit,16999.6569,14522918.47
22,,26,163,515700,26163515700,5157,Census Tract 5157,G5020,S,1208050,1059803,+42.3530390,-082.9871415,Detroit,22676.57458,24408802.24
23,,26,163,515600,26163515600,5156,Census Tract 5156,G5020,S,864898,0,+42.3639483,-082.9917654,Detroit,14751.77993,9308826.423
24,,26,163,515400,26163515400,5154,Census Tract 5154,G5020,S,902465,0,+42.3609676,-082.9963793,Detroit,15915.42907,9713123.646
25,,26,163,515300,26163515300,5153,Census Tract 5153,G5020,S,795120,0,+42.3532902,-083.0005510,Detroit,11786.06119,8557810.046
26,,26,163,515200,26163515200,5152,Census Tract 5152,G5020,S,929506,0,+42.3616627,-083.0056672,Detroit,12740.28141,10004154.11
